No;Sort;Id;Year;Districts;Input1;Input2;Output1;Output2;;
1;1;1;2013;SUMBA BARAT DAYA;10.8196;10.6974;11.3672;10.6020;;
2;2;1;2014;SUMBA BARAT DAYA;11.0627;10.7334;11.1837;10.9070;;
3;3;1;2015;SUMBA BARAT DAYA;11.0627;10.7334;11.2013;10.9070;;
4;1;2;2013;SUMBA TIMUR;10.4267;10.6135;11.2705;10.5039;;
5;2;2;2014;SUMBA TIMUR;10.6356;10.6311;11.2899;10.5766;;
6;3;2;2015;SUMBA TIMUR;10.9838;10.6444;11.3685;10.6732;;
7;1;3;2013;KUPANG;10.7317;11.0644;11.1167;10.6248;;
8;2;3;2014;KUPANG;10.9723;10.9758;11.2876;10.6804;;
9;3;3;2015;KUPANG;10.9925;10.9322;11.1831;10.7647;;
10;1;4;2013;TTS;9.6292;10.6518;11.3473;10.7392;;
11;2;4;2014;TTS;10.6222;10.5532;11.3203;10.4756;;
12;3;4;2015;TTS;10.7254;10.5930;11.2037;10.7026;;
13;1;5;2013;TTU;10.6102;10.7478;11.1326;10.6078;;
14;2;5;2014;TTU;10.6518;10.6725;11.1422;10.7043;;
15;3;5;2015;TTU;10.7452;10.6667;11.1949;10.8440;;
16;1;6;2013;BELU;10.8725;10.9207;11.0830;10.6348;;
17;2;6;2014;BELU;11.0184;10.7789;11.0993;10.8509;;
18;3;6;2015;BELU;11.0665;10.8100;11.1917;10.8761;;
19;1;7;2013;ALOR;10.5719;10.7110;11.0717;10.2047;;
20;2;7;2014;ALOR;10.8220;10.6639;11.2700;10.4406;;
21;3;7;2015;ALOR;10.8596;10.7258;11.2602;10.6405;;
22;1;8;2013;LEMBATA;10.8016;10.6155;11.1784;10.4887;;
23;2;8;2014;LEMBATA;10.9519;10.7012;11.1395;10.4604;;
24;3;8;2015;LEMBATA;11.0240;10.7556;11.0562;10.6098;;
25;1;9;2013;FLORES TIMUR;10.8118;10.7507;11.0683;10.3708;;
26;2;9;2014;FLORES TIMUR;10.8797;10.7048;11.0837;10.6839;;
27;3;9;2015;FLORES TIMUR;11.0273;10.8421;11.0677;10.8209;;
28;1;10;2013;SIKKA;10.9695;10.6106;10.9755;10.2660;;
29;2;10;2014;SIKKA;11.1641;10.6681;11.1342;10.4401;;
30;3;10;2015;SIKKA;11.1169;10.6993;11.0409;10.7110;;
31;1;11;2013;ENDE;10.9848;10.8172;11.0509;10.6823;;
32;2;11;2014;ENDE;11.1491;10.7874;10.9961;10.7843;;
33;3;11;2015;ENDE;11.2568;10.7592;11.1877;11.1937;;
34;1;12;2013;NGADA;10.7917;10.8448;10.9628;10.2570;;
35;2;12;2014;NGADA;10.9397;10.7600;11.0401;10.4342;;
36;3;12;2015;NGADA;10.9882;10.7428;11.2013;10.5335;;
37;1;13;2013;MANGGARAI BARAT;10.7225;10.4896;11.2915;10.4474;;
38;2;13;2014;MANGGARAI BARAT;10.8107;10.4460;11.3670;10.4838;;
39;3;13;2015;MANGGARAI BARAT;10.9032;10.4889;11.4773;10.6014;;
40;1;14;2013;ROTE NDAO;10.6320;10.5313;11.0360;10.0856;;
41;2;14;2014;ROTE NDAO;10.8836;10.4273;11.0782;10.4511;;
42;3;14;2015;ROTE NDAO;11.2332;10.3116;11.2290;10.8890;;
43;1;15;2013;MANGGARAI;10.7495;10.7185;11.1839;10.4639;;
44;2;15;2014;MANGGARAI;10.6758;10.5469;11.2986;10.5828;;
45;3;15;2015;MANGGARAI;10.8881;10.6207;11.2926;10.6879;;
46;1;16;2013;SUMBA TENGAH;10.8165;10.2966;11.0324;10.6338;;
47;2;16;2014;SUMBA TENGAH;10.8616;10.6619;11.0622;10.7319;;
48;3;16;2015;SUMBA TENGAH;10.8006;10.7230;11.2180;10.9138;;
49;1;17;2013;SUMBA BARAT;10.7284;10.8148;11.0712;10.5834;;
50;2;17;2014;SUMBA BARAT;10.7699;10.7250;11.0889;10.5815;;
51;3;17;2015;SUMBA BARAT;10.8813;10.7454;11.3079;10.8283;;
52;1;18;2013;NAGEKEO;10.9527;10.4205;10.9927;10.3037;;
53;2;18;2014;NAGEKEO;10.9481;10.4104;11.1053;10.3357;;
54;3;18;2015;NAGEKEO;11.0530;10.5493;11.2651;10.4472;;
55;1;19;2013;MANGGARAI TIMUR;10.9054;10.6092;11.1889;10.5172;;
56;2;19;2014;MANGGARAI TIMUR;10.9689;10.7860;11.2100;10.6793;;
57;3;19;2015;MANGGARAI TIMUR;10.9640;10.7205;11.2668;10.7345;;
58;1;20;2013;SABU RAIJUA;10.7324;10.4952;11.1154;10.4003;;
59;2;20;2014;SABU RAIJUA;10.8287;10.4426;11.1561;10.3945;;
60;3;20;2015;SABU RAIJUA;10.8446;10.4366;11.4311;10.6405;;
61;1;21;2013;KOTA KUPANG;10.9422;10.4621;11.0462;10.1650;;
62;2;21;2014;KOTA KUPANG;10.8191;10.5252;11.1433;10.2495;;
63;3;21;2015;KOTA KUPANG;10.9059;10.6221;11.1799;10.4649;;
